5400
         (-15.00, 13.00, -0.26) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-14.00, 13.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 14.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-15.00, 14.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, 13.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 14.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 14.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, 14.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-15.00, 15.00, -0.30) (0.10, 0.35, 0.35) (0.00, 0.00) 
         (-15.00, 15.00, -0.30) (0.10, 0.35, 0.35) (0.00, 0.00) 
         (-14.00, 14.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 15.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -15.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -15.00, -0.32) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -15.00, -0.32) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-13.00, -14.00, -0.38) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-14.00, -14.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -14.00, -0.38) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -14.00, -0.38) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-13.00, -13.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -13.00, -0.21) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -13.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -13.00, -0.28) (0.10, 0.36, 0.36) (0.00, 0.00) 
         (-13.00, -12.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
         (-14.00, -12.00, -0.19) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -12.00, -0.10) (0.10, 0.45, 0.45) (0.00, 0.00) 
