2400
(-4.500000, -2.000000, 0.045346) (-4.500000, -2.000000, 0.045346) (0.000000, 1.000000) 
(-4.000000, -2.000000, -0.182638) (-4.500000, -2.000000, -0.182638) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-4.500000, -2.000000, -0.058900) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-4.500000, -2.000000, -0.058900) (0.000000, 1.000000) 
(-4.000000, -2.000000, -0.182638) (-4.500000, -2.000000, -0.182638) (0.000000, 1.000000) 
(-4.000000, -1.500000, -0.461172) (-4.500000, -2.000000, -0.461172) (0.000000, 1.000000) 
(-4.500000, -1.500000, -0.058900) (-4.500000, -1.500000, -0.058900) (0.000000, 1.000000) 
(-4.000000, -1.500000, -0.461172) (-4.500000, -1.500000, -0.461172) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-4.500000, -1.500000, -0.148725) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-4.500000, -1.500000, -0.148725) (0.000000, 1.000000) 
(-4.000000, -1.500000, -0.461172) (-4.500000, -1.500000, -0.461172) (0.000000, 1.000000) 
(-4.000000, -1.000000, -0.626795) (-4.500000, -1.500000, -0.626795) (0.000000, 1.000000) 
(-4.500000, -1.000000, -0.148725) (-4.500000, -1.000000, -0.148725) (0.000000, 1.000000) 
(-4.000000, -1.000000, -0.626795) (-4.500000, -1.000000, -0.626795) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-4.500000, -1.000000, -0.202137) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-4.500000, -1.000000, -0.202137) (0.000000, 1.000000) 
(-4.000000, -1.000000, -0.626795) (-4.500000, -1.000000, -0.626795) (0.000000, 1.000000) 
(-4.000000, -0.500000, -0.638956) (-4.500000, -1.000000, -0.638956) (0.000000, 1.000000) 
(-4.500000, -0.500000, -0.202137) (-4.500000, -0.500000, -0.202137) (0.000000, 1.000000) 
(-4.000000, -0.500000, -0.638956) (-4.500000, -0.500000, -0.638956) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-4.500000, -0.500000, -0.206059) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-4.500000, -0.500000, -0.206059) (0.000000, 1.000000) 
(-4.000000, -0.500000, -0.638956) (-4.500000, -0.500000, -0.638956) (0.000000, 1.000000) 
(-4.000000, 0.000000, -0.494679) (-4.500000, -0.500000, -0.494679) (0.000000, 1.000000) 
(-4.500000, 0.000000, -0.206059) (-4.500000, 0.000000, -0.206059) (0.000000, 1.000000) 
(-4.000000, 0.000000, -0.494679) (-4.500000, 0.000000, -0.494679) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-4.500000, 0.000000, -0.159531) (0.000000, 1.000000) 
(-4.500000, 0.500000, -0.159531) (-4.500000, 0.000000, -0.159531) (0.000000, 1.000000) 
(-4.000000, 0.000000, -0.494679) (-4.500000, 0.000000, -0.494679) (0.000000, 1.000000) 
